YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        GDALT      SNL        VIPE1         DVIPE1        VIPN1         DVIPN1        
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01     112.50      -0.32   7.19000e+01   2.00000e+01       2.60000       0.50000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01     116.25      -0.11  -1.63500e+02   2.00000e+01      -5.10000       0.90000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01      93.75       0.41  -1.93500e+02   5.80000e+01       7.60000       0.60000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01      97.50       1.24  -1.39500e+02   2.00000e+01       4.50000       1.30000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01     101.25       2.08  -2.34200e+02   4.18000e+01     -12.90000       2.10000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01     105.00       1.53  -1.83200e+02   2.00000e+01      25.20000       1.90000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01     108.75      -0.03  -2.95500e+02   2.00000e+01      28.90000       1.10000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01     112.50      -0.42   4.01000e+01   2.00000e+01      13.40000       0.70000  
  2014         8        20        23         4        32    -1.19500e+01  -7.68700e+01     116.25      -0.38   2.48000e+01   2.00000e+01      19.20000       1.10000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01      93.75      -0.06  -2.64600e+02   2.00000e+01       5.00000       0.60000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01      97.50       1.48  -1.66000e+02   3.17000e+01      13.20000       1.50000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01     101.25       2.12  -2.33700e+02   5.41000e+01      18.70000       1.80000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01     105.00       1.64  -1.94000e+02   2.00000e+01      29.80000       2.30000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01     108.75       0.14  -2.15900e+02   2.00000e+01      31.20000       1.80000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01     112.50      -0.55  -1.63400e+02   2.00000e+01      -2.30000       0.90000  
  2014         8        20        23         4        57    -1.19500e+01  -7.68700e+01     116.25      -0.37  -2.91900e+02   2.00000e+01       2.80000       0.60000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01      93.75       0.03   1.13600e+02   2.00000e+01       7.70000       0.80000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01      97.50       1.36  -1.58900e+02   3.46000e+01       7.70000       1.50000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01     101.25       2.11  -1.11400e+02   2.00000e+01      -2.80000       2.30000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01     105.00       1.47  -1.29600e+02   4.01000e+01       4.80000       2.40000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01     108.75      -0.15  -4.23700e+02   2.00000e+01      13.90000       2.70000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01     112.50      -0.33  -1.58400e+02   2.00000e+01     -12.90000       4.90000  
  2014         8        20        23         5        21    -1.19500e+01  -7.68700e+01     116.25      -0.29   8.20000e+00   2.00000e+01       7.00000       0.30000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01      93.75       0.37  -2.63700e+02   5.98000e+01       6.20000       0.60000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01      97.50       1.33  -1.82300e+02   4.27000e+01      -4.80000       1.30000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01     101.25       2.15  -1.90300e+02   5.58000e+01      -9.20000       2.60000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01     105.00       1.54  -3.24100e+02   2.00000e+01      -0.30000       2.00000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01     108.75       0.01  -6.05100e+02   2.00000e+01       8.20000       2.60000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01     112.50      -0.33  -1.34300e+02   2.00000e+01      11.40000       0.50000  
  2014         8        20        23         5        47    -1.19500e+01  -7.68700e+01     116.25      -0.35   2.21700e+02   2.00000e+01       6.80000       0.70000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01      93.75       0.53  -1.14500e+02   2.00000e+01      -0.40000       0.70000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01      97.50       1.56  -1.75100e+02   5.62000e+01       2.90000       1.60000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01     101.25       2.16  -2.13400e+02   2.00000e+01      -8.80000       2.60000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01     105.00       1.55  -3.66400e+02   2.00000e+01      16.80000       1.90000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01     108.75       0.06  -3.52700e+02   2.00000e+01      25.10000       2.50000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01     112.50      -0.31  -5.02000e+01   2.00000e+01       0.40000       0.90000  
  2014         8        20        23         6        12    -1.19500e+01  -7.68700e+01     116.25      -0.61  -2.22000e+02   2.00000e+01      11.90000       0.50000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01      93.75       0.39  -2.85200e+02   2.00000e+01      -0.90000       0.70000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01      97.50       1.59  -1.43500e+02   2.00000e+01       5.90000       1.40000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01     101.25       2.14  -2.19200e+02   6.34000e+01      21.80000       2.00000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01     105.00       1.61  -3.93700e+02   2.00000e+01      28.70000       2.50000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01     108.75       0.12   2.23000e+02   2.00000e+01      35.20000       9.90000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01     112.50      -0.23  -3.45700e+02   2.00000e+01       1.20000       1.00000  
  2014         8        20        23         6        37    -1.19500e+01  -7.68700e+01     116.25      -0.36   4.77800e+02   2.00000e+01      24.50000       1.80000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01      93.75       0.24  -2.13200e+02   2.00000e+01       6.90000       0.60000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01      97.50       1.48  -1.55900e+02   2.00000e+01       1.10000       1.50000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01     101.25       2.14  -2.05200e+02   4.63000e+01     -12.00000       2.20000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01     105.00       1.72  -2.51800e+02   2.00000e+01      23.10000       2.30000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01     108.75       0.25  -3.06600e+02   2.00000e+01      35.70000       1.80000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01     112.50      -0.21   8.56600e+02   2.00000e+01       3.30000       1.30000  
  2014         8        20        23         7         0    -1.19500e+01  -7.68700e+01     116.25      -0.47  -2.30900e+02   2.00000e+01        missing       missing 
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01      93.75       0.08  -1.74200e+02   2.00000e+01       5.40000       0.50000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01      97.50       1.51  -9.06000e+01   3.66000e+01      -0.80000       1.40000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01     101.25       2.12  -1.49600e+02   2.00000e+01       0.50000       1.90000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01     105.00       1.75  -2.53700e+02   2.00000e+01      53.00000       2.00000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01     108.75       0.28  -1.82600e+02   2.00000e+01      43.40000       1.50000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01     112.50      -0.50  -7.00800e+02   2.00000e+01       6.40000       1.10000  
  2014         8        20        23         7        24    -1.19500e+01  -7.68700e+01     116.25      -0.63   7.56000e+01   2.00000e+01       7.80000       0.30000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01      93.75       0.18  -4.46900e+02   2.00000e+01      -2.40000       0.60000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01      97.50       1.42  -2.22900e+02   2.00000e+01      -2.80000       1.40000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01     101.25       2.09  -1.16500e+02   2.00000e+01      26.30000       2.00000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01     105.00       1.59  -4.19500e+02   2.00000e+01      39.10000       2.00000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01     108.75       0.08  -2.96100e+02   2.00000e+01      49.50000       1.70000  
  2014         8        20        23         7        48    -1.19500e+01  -7.68700e+01     112.50      -0.41  -1.10400e+02   2.00000e+01       5.70000       0.70000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01      93.75       0.19   5.33600e+02   2.00000e+01       0.70000       0.60000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01      97.50       1.35  -1.42500e+02   2.00000e+01       0.90000       1.40000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01     101.25       2.00  -6.40000e+01   4.53000e+01       6.10000       2.00000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01     105.00       1.58  -2.55900e+02   2.00000e+01      24.10000       2.30000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01     108.75       0.10  -1.55900e+02   2.00000e+01      28.50000       2.20000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01     112.50      -0.19   7.66300e+02   2.00000e+01       5.90000       1.10000  
  2014         8        20        23         8        13    -1.19500e+01  -7.68700e+01     116.25      -0.60  -3.49500e+02   2.00000e+01       1.80000       1.10000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01      93.75       0.19  -1.18200e+02   6.22000e+01      -1.90000       1.00000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01      97.50       1.33  -1.79400e+02   2.00000e+01      -0.40000       1.30000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01     101.25       2.01  -1.72000e+02   2.00000e+01      -2.00000       2.00000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01     105.00       1.58  -8.38000e+01   3.30000e+01      14.20000       2.60000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01     108.75       0.14  -1.98400e+02   2.00000e+01      20.00000       1.60000  
  2014         8        20        23         8        36    -1.19500e+01  -7.68700e+01     112.50      -0.29   2.62200e+02   2.00000e+01      39.10000       1.60000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01      93.75      -0.05  -2.67500e+02   2.00000e+01      -7.60000       0.70000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01      97.50       1.19  -1.83300e+02   5.82000e+01       5.00000       1.40000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01     101.25       2.02  -2.56200e+02   2.00000e+01       2.00000       1.90000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01     105.00       1.39  -2.59300e+02   2.00000e+01      18.90000       1.70000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01     108.75      -0.09  -1.49300e+02   2.00000e+01      31.60000       0.90000  
  2014         8        20        23         9         2    -1.19500e+01  -7.68700e+01     112.50      -0.40  -2.15200e+02   2.00000e+01      -6.10000       1.30000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01      93.75       0.45  -1.05300e+02   2.00000e+01       4.90000       0.70000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01      97.50       1.28  -1.70400e+02   4.25000e+01     -11.20000       1.40000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     101.25       2.02  -4.06500e+02   2.00000e+01       8.50000       1.90000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     105.00       1.54  -2.50700e+02   2.00000e+01      39.30000       2.20000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     108.75       0.19  -1.78400e+02   2.00000e+01      25.30000       1.60000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     112.50      -0.18   3.56000e+02   2.00000e+01      -2.20000       0.70000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     116.25      -0.57  -2.15400e+02   2.00000e+01      -1.80000       0.60000  
  2014         8        20        23         9        27    -1.19500e+01  -7.68700e+01     120.00      -1.19   4.20200e+02   2.00000e+01        missing       missing 
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01      93.75       0.25  -1.58000e+02   2.00000e+01       5.00000       0.70000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01      97.50       1.24  -3.13700e+02   2.00000e+01      12.80000       1.30000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01     101.25       1.97  -2.05600e+02   5.06000e+01      20.30000       2.20000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01     105.00       1.64  -2.17600e+02   6.28000e+01      54.80000       2.00000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01     108.75       0.29  -2.40100e+02   2.00000e+01      48.60000       1.80000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01     112.50      -0.23  -5.36300e+02   2.00000e+01      -0.80000       0.60000  
  2014         8        20        23         9        52    -1.19500e+01  -7.68700e+01     116.25      -0.59   6.19300e+02   2.00000e+01     -21.50000       0.80000  
  2014         8        20        23        10        15    -1.19500e+01  -7.68700e+01      93.75       0.04  -1.80600e+02   2.00000e+01      11.90000       0.70000  
  2014         8        20        23        10        15    -1.19500e+01  -7.68700e+01      97.50       1.30  -1.46900e+02   3.70000e+01       9.70000       1.50000  
  2014         8        20        23        10        15    -1.19500e+01  -7.68700e+01     101.25       1.88  -2.79500e+02   2.00000e+01       2.90000       1.90000  
